Name,Organism
33267_consensus,Sebastes ciliatus
33550_consensus,Sebastes ciliatus
33562_consensus,Sebastes ciliatus
ABLG4383_consensus,Sebastes ciliatus
ABLG4388_consensus,Sebastes ciliatus
ABLG4424_consensus,Sebastes ciliatus
ABLG4435_consensus,Sebastes ciliatus
ABLG4440_consensus,Sebastes ciliatus
ABLG4450_consensus,Sebastes ciliatus
ABLG4497_consensus,Sebastes ciliatus
ABLG4603_consensus,Sebastes ciliatus
31128_consensus,Sebastes variabilis
31137_consensus,Sebastes variabilis
31154_consensus,Sebastes variabilis
31169_consensus,Sebastes variabilis
31176_consensus,Sebastes variabilis
31180_consensus,Sebastes variabilis
ABLG4518_consensus,Sebastes variabilis
ABLG4520_consensus,Sebastes variabilis
ABLG4531_consensus,Sebastes variabilis
33554_consensus,Sebastes ciliatus
ABLG4384_consensus,Sebastes ciliatus
33567_consensus,Sebastes ciliatus
33569_consensus,Sebastes ciliatus
ABLG9487_consensus,Sebastes polyspinis
31201_consensus,Sebastes variabilis
ABLG4483_consensus,Sebastes variabilis
33269_consensus,Sebastes ciliatus
31181_consensus,Sebastes polyspinis
ABLG9548_consensus,Sebastes polyspinis
ABLG9552_consensus,Sebastes polyspinis
ABLG4439_consensus,Sebastes ciliatus
31089_consensus,Sebastes polyspinis
31113_consensus,Sebastes polyspinis
31145_consensus,Sebastes polyspinis
31149_consensus,Sebastes polyspinis
31184_consensus,Sebastes polyspinis
31186_consensus,Sebastes polyspinis
31188_consensus,Sebastes polyspinis
31193_consensus,Sebastes polyspinis
31196_consensus,Sebastes polyspinis
31197_consensus,Sebastes polyspinis
31203_consensus,Sebastes polyspinis
ABLG9471_consensus,Sebastes polyspinis
ABLG9473_consensus,Sebastes polyspinis
ABLG9482_consensus,Sebastes polyspinis
ABLG9507_consensus,Sebastes polyspinis
ABLG9509_consensus,Sebastes polyspinis
ABLG9519_consensus,Sebastes polyspinis
ABLG9522_consensus,Sebastes polyspinis
ABLG9536_consensus,Sebastes polyspinis
ABLG9538_consensus,Sebastes polyspinis
ABLG9539_consensus,Sebastes polyspinis
ABLG9544_consensus,Sebastes polyspinis
ABLG9554_consensus,Sebastes polyspinis
ABLG9563_consensus,Sebastes polyspinis
ABLG9565_consensus,Sebastes polyspinis
ABLG9567_consensus,Sebastes polyspinis
ABLG9573_consensus,Sebastes polyspinis
ABLG9581_consensus,Sebastes polyspinis
ABLG10066_consensus,Sebastes polyspinis
ABLG10067_consensus,Sebastes polyspinis
