sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
34137	34137	1	34137_S120_L001_R1_001.fastq.gz	34137_S120_L001_R2_001.fastq.gz	36348	36348	35100	35100	35019	35019	31347	31200	0
34138	34138	1	34138_S121_L001_R1_001.fastq.gz	34138_S121_L001_R2_001.fastq.gz	23100	23100	22394	22394	22308	22308	18779	17713	0
34139	34139	1	34139_S122_L001_R1_001.fastq.gz	34139_S122_L001_R2_001.fastq.gz	39299	39299	38065	38065	37718	37718	34746	34037	0
34140	34140	1	34140_S123_L001_R1_001.fastq.gz	34140_S123_L001_R2_001.fastq.gz	39720	39720	38449	38449	38332	38332	32652	30255	0
43624	43624	1	43624_S13_L001_R1_001.fastq.gz	43624_S13_L001_R2_001.fastq.gz	5323	5323	4613	4613	4495	4495	3332	3332	0
43625	43625	1	43625_S14_L001_R1_001.fastq.gz	43625_S14_L001_R2_001.fastq.gz	8353	8353	7190	7190	5255	5255	438	438	0
43626	43626	1	43626_S15_L001_R1_001.fastq.gz	43626_S15_L001_R2_001.fastq.gz	8182	8182	7316	7316	6959	6959	4649	4649	0
43627	43627	1	43627_S16_L001_R1_001.fastq.gz	43627_S16_L001_R2_001.fastq.gz	10773	10773	9935	9935	9357	9357	7004	7004	0
43628	43628	1	43628_S17_L001_R1_001.fastq.gz	43628_S17_L001_R2_001.fastq.gz	12391	12391	11517	11517	10627	10627	8372	8372	0
43629	43629	1	43629_S18_L001_R1_001.fastq.gz	43629_S18_L001_R2_001.fastq.gz	7083	7083	6553	6553	6314	6314	5316	5316	0
43630	43630	1	43630_S19_L001_R1_001.fastq.gz	43630_S19_L001_R2_001.fastq.gz	10144	10144	9447	9447	9156	9156	6314	6314	0
43631	43631	1	43631_S20_L001_R1_001.fastq.gz	43631_S20_L001_R2_001.fastq.gz	7051	7051	6120	6120	5976	5976	4305	4305	0
43632	43632	1	43632_S21_L001_R1_001.fastq.gz	43632_S21_L001_R2_001.fastq.gz	7586	7586	7035	7035	6909	6909	5377	5377	0
43633	43633	1	43633_S22_L001_R1_001.fastq.gz	43633_S22_L001_R2_001.fastq.gz	6215	6215	5706	5706	5631	5631	4232	4232	0
43634	43634	1	43634_S23_L001_R1_001.fastq.gz	43634_S23_L001_R2_001.fastq.gz	8231	8231	7627	7627	7309	7309	5476	5476	0
43635	43635	1	43635_S24_L001_R1_001.fastq.gz	43635_S24_L001_R2_001.fastq.gz	7816	7816	7169	7169	6132	6132	2922	2922	0
43636	43636	1	43636_S25_L001_R1_001.fastq.gz	43636_S25_L001_R2_001.fastq.gz	6731	6731	6247	6247	6127	6127	4706	4706	0
43637	43637	1	43637_S26_L001_R1_001.fastq.gz	43637_S26_L001_R2_001.fastq.gz	7534	7534	6971	6971	6757	6757	6347	6347	0
43638	43638	1	43638_S27_L001_R1_001.fastq.gz	43638_S27_L001_R2_001.fastq.gz	7076	7076	6346	6346	5226	5226	624	624	0
43639	43639	1	43639_S28_L001_R1_001.fastq.gz	43639_S28_L001_R2_001.fastq.gz	2196	2196	2005	2005	1416	1416	198	198	0
43640	43640	1	43640_S29_L001_R1_001.fastq.gz	43640_S29_L001_R2_001.fastq.gz	6339	6339	5834	5834	5709	5709	4196	4196	0
43641	43641	1	43641_S30_L001_R1_001.fastq.gz	43641_S30_L001_R2_001.fastq.gz	7688	7688	7126	7126	7018	7018	5027	5027	0
43642	43642	1	43642_S31_L001_R1_001.fastq.gz	43642_S31_L001_R2_001.fastq.gz	4770	4770	4375	4375	3385	3385	119	119	0
43643	43643	1	43643_S32_L001_R1_001.fastq.gz	43643_S32_L001_R2_001.fastq.gz	5314	5314	4892	4892	4746	4746	4294	4294	0
43644	43644	1	43644_S33_L001_R1_001.fastq.gz	43644_S33_L001_R2_001.fastq.gz	4687	4687	4374	4374	2624	2624	337	337	0
43645	43645	1	43645_S34_L001_R1_001.fastq.gz	43645_S34_L001_R2_001.fastq.gz	5704	5704	5188	5188	4189	4189	2627	2627	0
43646	43646	1	43646_S35_L001_R1_001.fastq.gz	43646_S35_L001_R2_001.fastq.gz	8334	8334	7786	7786	7673	7673	7432	7432	0
43647	43647	1	43647_S36_L001_R1_001.fastq.gz	43647_S36_L001_R2_001.fastq.gz	10696	10696	9938	9938	9636	9636	5086	5086	0
43648	43648	1	43648_S37_L001_R1_001.fastq.gz	43648_S37_L001_R2_001.fastq.gz	8181	8181	7577	7577	7379	7379	4724	4724	0
43649	43649	1	43649_S38_L001_R1_001.fastq.gz	43649_S38_L001_R2_001.fastq.gz	5946	5946	5470	5470	3725	3725	405	405	0
