Name,Description,Organism
DQ678608,"Helicolenus avius voucher SWFSC112-37 D-loop, partial sequence; mitochondrial",Helicolenus avius
DQ678602,"Hozukius emblemarius voucher FAKU81635 D-loop, partial sequence; mitochondrial",Hozukius emblemarius
DQ678521,"Sebastes aleutianus voucher SWFSC4-71 D-loop, partial sequence; mitochondrial",Sebastes aleutianus
OR641492 PCR Product,"Sebastes aleutianus mitochondrion, complete genome",Sebastes aleutianus
OR641493 PCR Product,"Sebastes aleutianus mitochondrion, complete genome",Sebastes aleutianus
OR641494 PCR Product,"Sebastes aleutianus mitochondrion, complete genome",Sebastes aleutianus
UW114037 PCR Product,UW114037_OR641492_Sebastes.aleutianus.fa,Sebastes aleutianus
UW150213 PCR Product,UW150213_OR641492_Sebastes.aleutianus.fa,Sebastes aleutianus
UW151122 PCR Product,UW151122_OR641492_Sebastes.aleutianus.fa,Sebastes aleutianus
DQ678519,"Sebastes alutus voucher SWFSC121-65 D-loop, partial sequence; mitochondrial",Sebastes alutus
OR482510 PCR Product,"Sebastes alutus voucher UW:113197 mitochondrion, complete genome",Sebastes alutus
OR641501 PCR Product,"Sebastes alutus mitochondrion, complete genome",Sebastes alutus
OR641502 PCR Product,"Sebastes alutus mitochondrion, complete genome",Sebastes alutus
UW049120 PCR Product,UW049120_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW110482 PCR Product,UW110482_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW113198 PCR Product,UW113198_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW114062 PCR Product,UW114062_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW118758 PCR Product,UW118758_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW118759 PCR Product,UW118759_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW151741 PCR Product,UW151741_NC_082757_SEBASTES.alutus.fa,Sebastes alutus
UW156950 PCR Product,UW156950_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW157686 PCR Product,UW157686-1_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW157691 PCR Product,UW157691-2_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158642 PCR Product,UW158642_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158722 PCR Product,UW158722_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158723 PCR Product,UW158723_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158726 PCR Product,UW158726_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
DQ678526,"Sebastes atrovirens voucher SWFSC166-27 D-loop, partial sequence; mitochondrial",Sebastes atrovirens
DQ678616,"Sebastes auriculatus voucher SWFSC36-82 D-loop, partial sequence; mitochondrial",Sebastes auriculatus
NC_082772 PCR Product,"Sebastes auriculatus voucher UW:118749 mitochondrion, complete genome",Sebastes auriculatus
OR482526 PCR Product,"Sebastes auriculatus voucher UW:118749 mitochondrion, complete genome",Sebastes auriculatus
UW114052 PCR Product,UW114052_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW118661 PCR Product,UW118661_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW118665 PCR Product,UW118665_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW150209 PCR Product,UW150209_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW150211 PCR Product,UW150211_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW151117 PCR Product,UW151117_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW151118 PCR Product,UW151118_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW158070 PCR Product,UW158070_NC_082772_SEBASTES.AURICULATUS.fa,Sebastes auriculatus
UW158071 PCR Product,UW158071_NC_082772_SEBASTES.AURICULATUS.fa,Sebastes auriculatus
DQ678520,"Sebastes aurora voucher SWFSC42-2 D-loop, partial sequence; mitochondrial",Sebastes aurora
UW114044 PCR Product  (reversed),UW114044_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW119913 PCR Product (reversed),UW119913_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW119914 PCR Product (reversed),UW119914_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW119915 PCR Product (reversed),UW119915_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW151728 PCR Product (reversed),UW151728_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW151729 PCR Product (reversed),UW151729_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
DQ678525,"Sebastes babcocki voucher SWFSC179-35 D-loop, partial sequence; mitochondrial",Sebastes babcocki
NC_085187 PCR Product,"Sebastes babcocki mitochondrion, complete genome",Sebastes babcocki
OR499729 PCR Product,"Sebastes babcocki mitochondrion, partial genome",Sebastes babcocki
OR641503 PCR Product,"Sebastes babcocki mitochondrion, complete genome",Sebastes babcocki
OR641504 PCR Product,"Sebastes babcocki mitochondrion, complete genome",Sebastes babcocki
UW114043 PCR Product,UW114043_NC_085187_Sebastes.babcocki.fa,Sebastes babcocki
UW153314 PCR Product,UW153314_NC_085187_SEBASTES.BABCOCKI.fa,Sebastes babcocki
UW153334 PCR Product,UW153334_NC_085187_SEBASTES.BABCOCKI.fa,Sebastes babcocki
UW153439 PCR Product,UW153439_NC_085187_SEBASTES.BABCOCKI.fa,Sebastes babcocki
DQ678594,"Sebastes baramenuke voucher FAKU81605 D-loop, partial sequence; mitochondrial",Sebastes baramenuke
DQ678609,"Sebastes borealis voucher SIO01186 D-loop, partial sequence; mitochondrial",Sebastes borealis
UW201558 PCR Product,UW201558_NC_082771_Sebastes.borealis.fa,Sebastes borealis
UW201559 PCR Product,UW201559_NC_082771_Sebastes.borealis.fa,Sebastes borealis
UW201560 PCR Product,UW201560_NC_082771_Sebastes.borealis.fa,Sebastes borealis
DQ678522,"Sebastes brevispinis voucher SWFSC92-4 D-loop, partial sequence; mitochondrial",Sebastes brevispinis
NC_082776 PCR Product,"Sebastes brevispinis voucher UW:119934 mitochondrion, complete genome",Sebastes brevispinis
OR482530 PCR Product,"Sebastes brevispinis voucher UW:119934 mitochondrion, complete genome",Sebastes brevispinis
OR641505 PCR Product,"Sebastes brevispinis mitochondrion, complete genome",Sebastes brevispinis
UW114059 PCR Product,UW114059_NC_082776_Sebastes.brevispinis.fa,Sebastes brevispinis
UW119935 PCR Product,UW119935_NC_082776_SEBASTES.BREVISPINIS.fa,Sebastes brevispinis
UW153443 PCR Product,UW153443_NC_082776_SEBASTES.BREVISPINIS.fa,Sebastes brevispinis
UW153444 PCR Product,UW153444_NC_082776_SEBASTES.BREVISPINIS.fa,Sebastes brevispinis
DQ678523,"Sebastes capensis voucher SWFSC10-91 D-loop, partial sequence; mitochondrial",Sebastes capensis
ABLG11528,"Sebastes carnatus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11528",Sebastes carnatus
ABLG11530,"Sebastes carnatus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11530",Sebastes carnatus
DQ678527,"Sebastes carnatus voucher SWFSC147-86 D-loop, partial sequence; mitochondrial",Sebastes carnatus
UW114027 PCR Product,UW114027_OR546210_Sebastes.carnatus.fa,Sebastes carnatus
DQ678528,"Sebastes caurinus voucher SWFSC124-4 D-loop, partial sequence; mitochondrial",Sebastes caurinus
NC_066933 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OL806594 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OP035205 PCR Product,"Sebastes caurinus voucher UW:114025 mitochondrion, complete genome",Sebastes caurinus
OR546210 PCR Product,"Sebastes caurinus voucher UW:156954 mitochondrion, complete genome",Sebastes caurinus
OR641506 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641507 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641508 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641509 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641510 PCR Product,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
UW114025 PCR Product,UW114025_OR546210_Sebastes.caurinus.fa,Sebastes caurinus
UW151116 PCR Product,UW151116_OR546210_Sebastes.caurinus.fa,Sebastes caurinus
UW151119 PCR Product,UW151119_OR546210_Sebastes.caurinus.fa,Sebastes caurinus
UW155385 PCR Product,UW155385_OR546210_SEBASTES.CAURINUS.fa,Sebastes caurinus
DQ678538,"Sebastes chlorostictus voucher SWFSC156-89 D-loop, partial sequence; mitochondrial",Sebastes chlorostictus
UW151722 PCR Product,UW151722_NC_082792_Sebastes.chlorostictus.fa,Sebastes chlorostictus
UW151751 PCR Product,UW151751_NC_082792_Sebastes.chlorostictus.fa,Sebastes chlorostictus
DQ678529,"Sebastes chrysomelas voucher SWFSC163-11 D-loop, partial sequence; mitochondrial",Sebastes chrysomelas
MZ420215 PCR Product,"Sebastes ciliatus isolate 1003050 mitochondrion, complete genome",Sebastes ciliatus
NC_060709 PCR Product,"Sebastes ciliatus isolate 403 mitochondrion, complete genome",Sebastes ciliatus
UW201602 PCR Product,UW201602_OR482540_SEBASTES.CILIATUS.fa,Sebastes ciliatus
hap1_33267_consensus,"Sebastes ciliatus voucher UW043242-#27 D-loop, partial sequence; mitochondrial",Sebastes ciliatus_variabilis
hap7_31214_consensus,"Sebastes variabilis mitochondrial DNA, D-loop, partial sequence, specimen_voucher: NSMT:P76226",Sebastes ciliatus_variabilis
hap8_33568_consensus,"Sebastes ciliatus voucher UW043242-#27 D-loop, partial sequence; mitochondrial",Sebastes ciliatus_variabilis
hap9_33552_consensus,"Sebastes ciliatus voucher UW043242-#27 D-loop, partial sequence; mitochondrial",Sebastes ciliatus_variabilis
hap10_33268_consensus,"Sebastes ciliatus voucher UW043242-#27 D-loop, partial sequence; mitochondrial",Sebastes ciliatus_variabilis
hap11_31157_consensus,"Sebastes variabilis mitochondrial DNA, D-loop, partial sequence, specimen_voucher: NSMT:P76226",Sebastes ciliatus_variabilis
hap12_33579_consensus,"Sebastes ciliatus voucher UW043242-#27 D-loop, partial sequence; mitochondrial",Sebastes ciliatus_variabilis
DQ678539,"Sebastes constellatus voucher SWFSC153-81 D-loop, partial sequence; mitochondrial",Sebastes constellatus
UW113199 PCR Product,UW113199_NC_082758_Sebastes.constellatus.fa,Sebastes constellatus
UW114066 PCR Product,UW114066_NC_082758_Sebastes.constellatus.fa,Sebastes constellatus
UW152319 PCR Product,UW152319_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW152320 PCR Product,UW152320_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW152321 PCR Product,UW152321_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW152348 PCR Product,UW152348_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW156955 PCR Product,UW156955_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
DQ678600,"Sebastes cortezi voucher SWFSC225-76 D-loop, partial sequence; mitochondrial",Sebastes cortezi
DQ678540,"Sebastes crameri voucher SWFSC134-40 D-loop, partial sequence; mitochondrial",Sebastes crameri
