Name,Organism
OR641492,Sebastes aleutianus
OR641493,Sebastes aleutianus
OR641494,Sebastes aleutianus
UW114037,Sebastes aleutianus
UW150213,Sebastes aleutianus
UW151122,Sebastes aleutianus
OR482510,Sebastes alutus
OR641501,Sebastes alutus
OR641502,Sebastes alutus
UW049120,Sebastes alutus
UW110482,Sebastes alutus
UW113198,Sebastes alutus
UW114062,Sebastes alutus
UW118758,Sebastes alutus
UW118759,Sebastes alutus
UW151741,Sebastes alutus
UW156950,Sebastes alutus
UW157686,Sebastes alutus
UW157691,Sebastes alutus
UW158642,Sebastes alutus
UW158722,Sebastes alutus
UW158723,Sebastes alutus
UW158726,Sebastes alutus
UW156847,Sebastes alutus
NC_082772,Sebastes auriculatus
OR482526,Sebastes auriculatus
UW114052,Sebastes auriculatus
UW118661,Sebastes auriculatus
UW118665,Sebastes auriculatus
UW150209,Sebastes auriculatus
UW150211,Sebastes auriculatus
UW151117,Sebastes auriculatus
UW151118,Sebastes auriculatus
UW158070,Sebastes auriculatus
UW158071,Sebastes auriculatus
UW114044,Sebastes aurora
UW119913,Sebastes aurora
UW119914,Sebastes aurora
UW119915,Sebastes aurora
UW151728,Sebastes aurora
UW151729,Sebastes aurora
UW151730,Sebastes aurora
NC_085187,Sebastes babcocki
OR499729,Sebastes babcocki
OR641503,Sebastes babcocki
OR641504,Sebastes babcocki
UW114043,Sebastes babcocki
UW153314,Sebastes babcocki
UW153334,Sebastes babcocki
UW153439,Sebastes babcocki
UW201558,Sebastes borealis
UW201559,Sebastes borealis
UW201560,Sebastes borealis
NC_082776,Sebastes brevispinis
OR482530,Sebastes brevispinis
OR641505,Sebastes brevispinis
UW114059,Sebastes brevispinis
UW119935,Sebastes brevispinis
UW153443,Sebastes brevispinis
UW153444,Sebastes brevispinis
UW114027,Sebastes carnatus
NC_066933,Sebastes caurinus
OL806594,Sebastes caurinus
OP035205,Sebastes caurinus
OR546210,Sebastes caurinus
OR641506,Sebastes caurinus
OR641507,Sebastes caurinus
OR641508,Sebastes caurinus
OR641509,Sebastes caurinus
OR641510,Sebastes caurinus
UW114025,Sebastes caurinus
UW151116,Sebastes caurinus
UW151119,Sebastes caurinus
UW155385,Sebastes caurinus
UW151722,Sebastes chlorostictus
UW151724,Sebastes chlorostictus
UW151751,Sebastes chlorostictus
MZ420215,Sebastes ciliatus
NC_060709,Sebastes ciliatus
OK048740,Sebastes ciliatus
UW201602,Sebastes ciliatus
UW113199,Sebastes constellatus
UW114066,Sebastes constellatus
UW152319,Sebastes constellatus
UW152320,Sebastes constellatus
UW152321,Sebastes constellatus
UW152348,Sebastes constellatus
UW156955,Sebastes constellatus
NC_082778,Sebastes crameri
OP035263,Sebastes crameri
OR482532,Sebastes crameri
OR641511,Sebastes crameri
OR641512,Sebastes crameri
UW114055,Sebastes crameri
UW117007,Sebastes crameri
UW151743,Sebastes crameri
UW151744,Sebastes crameri
UW153440,Sebastes crameri
UW153442,Sebastes crameri
UW156292,Sebastes crameri
UW156293,Sebastes crameri
UW156294,Sebastes crameri
UW156303_NC_082765_Sebastes.miniatus.fa,Sebastes crocotulus
UW114033,Sebastes dallii
UW202934,Sebastes dallii
NC_082821,Sebastes diploproa
OR482579,Sebastes diploproa
OR641513,Sebastes diploproa
OR641514,Sebastes diploproa
UW048791,Sebastes diploproa
UW117004,Sebastes diploproa
UW118643,Sebastes diploproa
UW151745,Sebastes diploproa
NC_082818,Sebastes elongatus
OR482576,Sebastes elongatus
OR641515,Sebastes elongatus
OR641516,Sebastes elongatus
UW048825,Sebastes elongatus
UW048826,Sebastes elongatus
UW048827,Sebastes elongatus
UW049709,Sebastes elongatus
UW150216,Sebastes elongatus
UW201655,Sebastes elongatus
UW202945,Sebastes elongatus
