Name,Description,Organism
DQ678608,"Helicolenus avius voucher SWFSC112-37 D-loop, partial sequence; mitochondrial",Helicolenus avius
DQ678602,"Hozukius emblemarius voucher FAKU81635 D-loop, partial sequence; mitochondrial",Hozukius emblemarius
DQ678521,"Sebastes aleutianus voucher SWFSC4-71 D-loop, partial sequence; mitochondrial",Sebastes aleutianus
OR641492,"Sebastes aleutianus mitochondrion, complete genome",Sebastes aleutianus
OR641493,"Sebastes aleutianus mitochondrion, complete genome",Sebastes aleutianus
OR641494,"Sebastes aleutianus mitochondrion, complete genome",Sebastes aleutianus
UW114037,UW114037_OR641492_Sebastes.aleutianus.fa,Sebastes aleutianus
UW150213,UW150213_OR641492_Sebastes.aleutianus.fa,Sebastes aleutianus
UW151122,UW151122_OR641492_Sebastes.aleutianus.fa,Sebastes aleutianus
DQ678519,"Sebastes alutus voucher SWFSC121-65 D-loop, partial sequence; mitochondrial",Sebastes alutus
OR482510,"Sebastes alutus voucher UW:113197 mitochondrion, complete genome",Sebastes alutus
OR641501,"Sebastes alutus mitochondrion, complete genome",Sebastes alutus
OR641502,"Sebastes alutus mitochondrion, complete genome",Sebastes alutus
UW049120,UW049120_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW110482,UW110482_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW113198,UW113198_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW114062,UW114062_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW118758,UW118758_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW118759,UW118759_NC_082757_Sebastes.alutus.fa,Sebastes alutus
UW151741,UW151741_NC_082757_SEBASTES.alutus.fa,Sebastes alutus
UW156950,UW156950_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW157686,UW157686-1_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW157691,UW157691-2_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158642,UW158642_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158722,UW158722_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158723,UW158723_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
UW158726,UW158726_NC_082757_SEBASTES.ALUTUS.fa,Sebastes alutus
DQ678526,"Sebastes atrovirens voucher SWFSC166-27 D-loop, partial sequence; mitochondrial",Sebastes atrovirens
DQ678616,"Sebastes auriculatus voucher SWFSC36-82 D-loop, partial sequence; mitochondrial",Sebastes auriculatus
NC_082772,"Sebastes auriculatus voucher UW:118749 mitochondrion, complete genome",Sebastes auriculatus
OR482526,"Sebastes auriculatus voucher UW:118749 mitochondrion, complete genome",Sebastes auriculatus
UW114052,UW114052_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW118661,UW118661_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW118665,UW118665_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW150209,UW150209_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW150211,UW150211_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW151117,UW151117_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW151118,UW151118_NC_082772_Sebastes.auriculatus.fa,Sebastes auriculatus
UW158070,UW158070_NC_082772_SEBASTES.AURICULATUS.fa,Sebastes auriculatus
UW158071,UW158071_NC_082772_SEBASTES.AURICULATUS.fa,Sebastes auriculatus
DQ678520,"Sebastes aurora voucher SWFSC42-2 D-loop, partial sequence; mitochondrial",Sebastes aurora
UW114044,UW114044_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW119913,UW119913_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW119914,UW119914_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW119915,UW119915_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW151728,UW151728_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
UW151729,UW151729_NC_082821_Sebastes.aurora_Assembled,Sebastes aurora
DQ678525,"Sebastes babcocki voucher SWFSC179-35 D-loop, partial sequence; mitochondrial",Sebastes babcocki
NC_085187,"Sebastes babcocki mitochondrion, complete genome",Sebastes babcocki
OR499729,"Sebastes babcocki mitochondrion, partial genome",Sebastes babcocki
OR641503,"Sebastes babcocki mitochondrion, complete genome",Sebastes babcocki
OR641504,"Sebastes babcocki mitochondrion, complete genome",Sebastes babcocki
UW114043,UW114043_NC_085187_Sebastes.babcocki.fa,Sebastes babcocki
UW114059,UW114059_NC_082776_Sebastes.brevispinis.fa,Sebastes babcocki
UW153314,UW153314_NC_085187_SEBASTES.BABCOCKI.fa,Sebastes babcocki
UW153334,UW153334_NC_085187_SEBASTES.BABCOCKI.fa,Sebastes babcocki
UW153439,UW153439_NC_085187_SEBASTES.BABCOCKI.fa,Sebastes babcocki
DQ678594,"Sebastes baramenuke voucher FAKU81605 D-loop, partial sequence; mitochondrial",Sebastes baramenuke
DQ678609,"Sebastes borealis voucher SIO01186 D-loop, partial sequence; mitochondrial",Sebastes borealis
UW201558,UW201558_NC_082771_Sebastes.borealis.fa,Sebastes borealis
UW201559,UW201559_NC_082771_Sebastes.borealis.fa,Sebastes borealis
UW201560,UW201560_NC_082771_Sebastes.borealis.fa,Sebastes borealis
DQ678522,"Sebastes brevispinis voucher SWFSC92-4 D-loop, partial sequence; mitochondrial",Sebastes brevispinis
NC_082776,"Sebastes brevispinis voucher UW:119934 mitochondrion, complete genome",Sebastes brevispinis
OR482530,"Sebastes brevispinis voucher UW:119934 mitochondrion, complete genome",Sebastes brevispinis
OR641505,"Sebastes brevispinis mitochondrion, complete genome",Sebastes brevispinis
UW119935,UW119935_NC_082776_SEBASTES.BREVISPINIS.fa,Sebastes brevispinis
UW153443,UW153443_NC_082776_SEBASTES.BREVISPINIS.fa,Sebastes brevispinis
UW153444,UW153444_NC_082776_SEBASTES.BREVISPINIS.fa,Sebastes brevispinis
DQ678523,"Sebastes capensis voucher SWFSC10-91 D-loop, partial sequence; mitochondrial",Sebastes capensis
ABLG11528,"Sebastes carnatus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11528",Sebastes carnatus
ABLG11530,"Sebastes carnatus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11530",Sebastes carnatus
DQ678527,"Sebastes carnatus voucher SWFSC147-86 D-loop, partial sequence; mitochondrial",Sebastes carnatus
UW114027,UW114027_OR546210_Sebastes.carnatus.fa,Sebastes carnatus
DQ678528,"Sebastes caurinus voucher SWFSC124-4 D-loop, partial sequence; mitochondrial",Sebastes caurinus
NC_066933,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OL806594,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OP035205,"Sebastes caurinus voucher UW:114025 mitochondrion, complete genome",Sebastes caurinus
OR546210,"Sebastes caurinus voucher UW:156954 mitochondrion, complete genome",Sebastes caurinus
OR641506,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641507,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641508,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641509,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
OR641510,"Sebastes caurinus mitochondrion, complete genome",Sebastes caurinus
UW114025,UW114025_OR546210_Sebastes.caurinus.fa,Sebastes caurinus
UW151116,UW151116_OR546210_Sebastes.caurinus.fa,Sebastes caurinus
UW151119,UW151119_OR546210_Sebastes.caurinus.fa,Sebastes caurinus
UW155385,UW155385_OR546210_SEBASTES.CAURINUS.fa,Sebastes caurinus
DQ678538,"Sebastes chlorostictus voucher SWFSC156-89 D-loop, partial sequence; mitochondrial",Sebastes chlorostictus
UW151722,UW151722_NC_082792_Sebastes.chlorostictus.fa,Sebastes chlorostictus
UW151751,UW151751_NC_082792_Sebastes.chlorostictus.fa,Sebastes chlorostictus
DQ678529,"Sebastes chrysomelas voucher SWFSC163-11 D-loop, partial sequence; mitochondrial",Sebastes chrysomelas
ABLG33267,ABLG33267_DQ678618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
ABLG33270,ABLG33270_DQ679618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
ABLG33545,ABLG33545_DQ679618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
ABLG33552,ABLG33552_DQ678618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
ABLG33554,ABLG33554_DQ678618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
ABLG33568,ABLG33568_DQ678618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
ABLG33579,ABLG33579_DQ678618_Sebastes_ciliatus_D-loop,Sebastes ciliatus
MZ420215,"Sebastes ciliatus isolate 1003050 mitochondrion, complete genome",Sebastes ciliatus
NC_060709,"Sebastes ciliatus isolate 403 mitochondrion, complete genome",Sebastes ciliatus
UW201602,UW201602_OR482540_SEBASTES.CILIATUS.fa,Sebastes ciliatus
DQ678539,"Sebastes constellatus voucher SWFSC153-81 D-loop, partial sequence; mitochondrial",Sebastes constellatus
UW113199,UW113199_NC_082758_Sebastes.constellatus.fa,Sebastes constellatus
UW114066,UW114066_NC_082758_Sebastes.constellatus.fa,Sebastes constellatus
UW152319,UW152319_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW152320,UW152320_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW152321,UW152321_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW152348,UW152348_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
UW156955,UW156955_NC_082758_SEBASTES.CONSTELLATUS.fa,Sebastes constellatus
DQ678600,"Sebastes cortezi voucher SWFSC225-76 D-loop, partial sequence; mitochondrial",Sebastes cortezi
DQ678540,"Sebastes crameri voucher SWFSC134-40 D-loop, partial sequence; mitochondrial",Sebastes crameri
NC_082778,"Sebastes crameri voucher UW:119999 mitochondrion, complete genome",Sebastes crameri
OP035263,"Sebastes crameri voucher UW:114055 mitochondrion, complete genome",Sebastes crameri
OR482532,"Sebastes crameri voucher UW:119999 mitochondrion, complete genome",Sebastes crameri
OR641511,"Sebastes crameri mitochondrion, complete genome",Sebastes crameri
OR641512,"Sebastes crameri mitochondrion, complete genome",Sebastes crameri
UW114055,UW114055_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW117007,UW117007_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW151743,UW151743_NC_082778_SEBASTES.crameri.fa,Sebastes crameri
UW151744,UW151744_NC_082778_SEBASTES.crameri.fa,Sebastes crameri
UW153440,UW153440_NC_082778_SEBASTES.CRAMERI.fa,Sebastes crameri
UW153442,UW153442_NC_082778_SEBASTES.CRAMERI.fa,Sebastes crameri
UW156292,UW156292_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW156293,UW156293_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW156294,UW156294_NC_082778_Sebastes.crameri.fa,Sebastes crameri
ABLG11613,"Sebastes crocotulus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11613",Sebastes crocotulus
ABLG11614,"Sebastes crocotulus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11614",Sebastes crocotulus
