"","qseqid","taxon"
"1","ASV1","Sebastes wilsoni"
"2","ASV10","Sebastes proriger"
"3","ASV100","Sebastes maliger"
"4","ASV102","Sebastes mystinus"
"5","ASV103","Sebastes polyspinis"
"6","ASV104","Sebastes flavidus"
"7","ASV105","Sebastes polyspinis"
"8","ASV106","Sebastes polyspinis"
"9","ASV107","Sebastes alutus"
"10","ASV108","Sebastes melanops"
"11","ASV109","Sebastes caurinus"
"12","ASV11","Sebastes nebulosus"
"13","ASV110","Sebastes alutus"
"14","ASV111","Sebastes zacentrus"
"15","ASV112","Sebastes polyspinis"
"16","ASV113","Sebastes melanostictus"
"17","ASV114","Sebastes melanops"
"18","ASV115","Sebastes entomelas"
"19","ASV116","Sebastes melanops"
"20","ASV117","Sebastes borealis"
"21","ASV119","Sebastes mystinus"
"22","ASV12","Sebastes emphaeus"
"23","ASV121","Sebastes melanostictus"
"24","ASV122","Sebastes helvomaculatus"
"25","ASV124","Sebastes melanops"
"26","ASV125","Sebastes entomelas"
"27","ASV126","Sebastes melanostictus"
"28","ASV127","Sebastes babcocki"
"29","ASV129","Sebastes nebulosus"
"30","ASV13","Sebastes proriger"
"31","ASV130","Sebastes caurinus"
"32","ASV131","Sebastes paucispinis"
"33","ASV133","Sebastes variabilis"
"34","ASV134","Sebastes nebulosus"
"35","ASV135","Sebastes maliger"
"36","ASV137","Sebastes aleutianus"
"37","ASV138","Sebastes borealis"
"38","ASV140","Sebastes melanostictus"
"39","ASV141","Sebastes nebulosus"
"40","ASV142","Sebastes babcocki"
"41","ASV143","Sebastes polyspinis"
"42","ASV144","Sebastes constellatus"
"43","ASV145","Sebastes zacentrus"
"44","ASV146","Sebastes emphaeus"
"45","ASV147","Sebastes melanops"
"46","ASV148","Sebastes zacentrus"
"47","ASV149","Sebastes melanostomus"
"48","ASV15","Sebastes zacentrus"
"49","ASV150","Sebastes babcocki"
"50","ASV151","Sebastes crameri"
"51","ASV152","Sebastes polyspinis"
"52","ASV153","Sebastes pinniger"
"53","ASV154","Sebastes proriger"
"54","ASV155","Sebastes zacentrus"
"55","ASV156","Sebastes zacentrus"
"56","ASV158","Sebastes melanostomus"
"57","ASV159","Sebastes proriger"
"58","ASV16","Sebastes proriger"
"59","ASV160","Sebastes proriger"
"60","ASV161","Sebastes polyspinis"
"61","ASV162","Sebastes melanostomus"
"62","ASV163","Sebastes nebulosus"
"63","ASV164","Sebastes pinniger"
"64","ASV165","Sebastes zacentrus"
"65","ASV168","Sebastes saxicola"
"66","ASV17","Sebastes rosaceus"
"67","ASV170","Sebastes auriculatus"
"68","ASV171","Sebastes elongatus"
"69","ASV172","Sebastes moseri"
"70","ASV173","Sebastes carnatus"
"71","ASV174","Sebastes polyspinis"
"72","ASV175","Sebastes reedi"
"73","ASV177","Sebastes elongatus"
"74","ASV178","Sebastes ovalis"
"75","ASV179","Sebastes rosaceus"
"76","ASV18","Sebastes proriger"
"77","ASV180","Sebastes melanostomus"
"78","ASV181","Sebastes saxicola"
"79","ASV182","Sebastes pinniger"
"80","ASV183","Sebastes elongatus"
"81","ASV188","Sebastes melanops"
"82","ASV189","Sebastes babcocki"
"83","ASV19","Sebastes nigrocinctus"
"84","ASV190","Sebastes mystinus"
"85","ASV191","Sebastes maliger"
"86","ASV192","Sebastes polyspinis"
"87","ASV193","Sebastes babcocki"
"88","ASV194","Sebastes pinniger"
"89","ASV195","Sebastes saxicola"
"90","ASV196","Sebastes brevispinis"
"91","ASV197","Sebastes helvomaculatus"
"92","ASV198","Sebastes brevispinis"
"93","ASV20","Sebastes proriger"
"94","ASV200","Sebastes saxicola"
"95","ASV201","Sebastes brevispinis"
"96","ASV202","Sebastes helvomaculatus"
"97","ASV203","Sebastes crameri"
"98","ASV21","Sebastes zacentrus"
"99","ASV22","Sebastes brevispinis"
"100","ASV23","Sebastes saxicola"
"101","ASV26","Sebastes paucispinis"
"102","ASV27","Sebastes saxicola"
"103","ASV28","Sebastes brevispinis"
"104","ASV29","Sebastes pinniger"
"105","ASV3","Sebastes reedi"
"106","ASV30","Sebastes brevispinis"
"107","ASV31","Sebastes paucispinis"
"108","ASV32","Sebastes melanostomus"
"109","ASV33","Sebastes melanostomus"
"110","ASV34","Sebastes wilsoni"
"111","ASV35","Sebastes paucispinis"
"112","ASV36","Sebastes helvomaculatus"
"113","ASV37","Sebastes zacentrus"
"114","ASV38","Sebastes crameri"
"115","ASV39","Sebastes goodei"
"116","ASV4","Sebastes elongatus"
"117","ASV40","Sebastes alutus"
"118","ASV41","Sebastes moseri"
"119","ASV42","Sebastes babcocki"
"120","ASV43","Sebastes rosaceus"
"121","ASV44","Sebastes babcocki"
"122","ASV45","Sebastes goodei"
"123","ASV46","Sebastes saxicola"
"124","ASV47","Sebastes rosenblatti"
"125","ASV49","Sebastes zacentrus"
"126","ASV5","Sebastes auriculatus"
"127","ASV50","Sebastes zacentrus"
"128","ASV51","Sebastes chlorostictus"
"129","ASV53","Sebastes goodei"
"130","ASV54","Sebastes reedi"
"131","ASV55","Sebastes crameri"
"132","ASV57","Sebastes rosenblatti"
"133","ASV58","Sebastes elongatus"
"134","ASV59","Sebastes zacentrus"
"135","ASV6","Sebastes crameri"
"136","ASV60","Sebastes helvomaculatus"
"137","ASV61","Sebastes aleutianus"
"138","ASV62","Sebastes variabilis"
"139","ASV63","Sebastes miniatus"
"140","ASV64","Sebastes melanostomus"
"141","ASV65","Sebastes alutus"
"142","ASV66","Sebastes maliger"
"143","ASV67","Sebastes maliger"
"144","ASV68","Sebastes ciliatus"
"145","ASV69","Sebastes crameri"
"146","ASV7","Sebastes babcocki"
"147","ASV70","Sebastes flavidus"
"148","ASV71","Sebastes miniatus"
"149","ASV72","Sebastes variabilis"
"150","ASV73","Sebastes alutus"
"151","ASV74","Sebastes melanops"
"152","ASV75","Sebastes polyspinis"
"153","ASV76","Sebastes entomelas"
"154","ASV77","Sebastes ensifer"
"155","ASV78","Sebastes alutus"
"156","ASV79","Sebastes entomelas"
"157","ASV8","Sebastes helvomaculatus"
"158","ASV81","Sebastes flavidus"
"159","ASV82","Sebastes variabilis"
"160","ASV83","Sebastes polyspinis"
"161","ASV84","Sebastes melanops"
"162","ASV85","Sebastes caurinus"
"163","ASV86","Sebastes aurora"
"164","ASV87","Sebastes flavidus"
"165","ASV88","Sebastes ciliatus"
"166","ASV89","Sebastes nebulosus"
"167","ASV9","Sebastes pinniger"
"168","ASV90","Sebastes polyspinis"
"169","ASV92","Sebastes caurinus"
"170","ASV93","Sebastes maliger"
"171","ASV94","Sebastes aurora"
"172","ASV95","Sebastes melanostictus"
"173","ASV97","Sebastes melanostictus"
"174","ASV98","Sebastes melanops"
"175","ASV99","Sebastes entomelas"
"176","ASV24","Sebates_ev"
