"","qseqid","taxon"
"1","ASV_001","Sebastes alutus"
"2","ASV_002","Sebastes polyspinis"
"3","ASV_003","Sebastes alutus"
"4","ASV_004","Sebastes alutus"
"5","ASV_005","Sebastes alutus"
"6","ASV_006","Sebastes polyspinis"
"7","ASV_007","Sebastes aleutianus"
"8","ASV_008","Sebastes polyspinis"
"9","ASV_009","Sebastes nigrocinctus"
"10","ASV_010","Sebastes polyspinis"
"11","ASV_011","Sebastes polyspinis"
"12","ASV_012","Sebastes babcocki"
"13","ASV_013","Sebastes polyspinis"
"14","ASV_014","Sebastes polyspinis"
"15","ASV_015","Sebastes polyspinis"
"16","ASV_017","Sebastes ciliatus"
"17","ASV_018","Sebastes melanostictus"
"18","ASV_019","Sebastes elongatus"
"19","ASV_020","Sebastes melanostictus"
"20","ASV_021","Sebastes pinniger"
"21","ASV_022","Sebastes helvomaculatus"
"22","ASV_023","Sebastes borealis"
"23","ASV_024","Sebastes polyspinis"
"24","ASV_025","Sebastes ciliatus"
"25","ASV_026","Sebastes brevispinis"
"26","ASV_027","Sebastes proriger"
"27","ASV_028","Sebastes alutus"
"28","ASV_029","Sebastes variabilis"
"29","ASV_030","Sebastes alutus"
"30","ASV_031","Sebastes alutus"
"31","ASV_033","Sebastes maliger"
"32","ASV_034","Sebastes proriger"
"33","ASV_035","Sebastes polyspinis"
"34","ASV_036","Sebastes polyspinis"
"35","ASV_038","Sebastes polyspinis"
"36","ASV_039","Sebastes polyspinis"
"37","ASV_040","Sebastes melanostictus"
"38","ASV_041","Sebastes polyspinis"
"39","ASV_042","Sebastes melanostictus"
"40","ASV_043","Sebastes elongatus"
"41","ASV_044","Sebastes elongatus"
"42","ASV_045","Sebastes polyspinis"
"43","ASV_046","Sebastes zacentrus"
"44","ASV_047","Sebastes pinniger"
"45","ASV_049","Sebastes melanops"
"46","ASV_050","Sebastes polyspinis"
"47","ASV_051","Sebastes babcocki"
"48","ASV_052","Sebastes polyspinis"
"49","ASV_053","Sebastes proriger"
"50","ASV_054","Sebastes maliger"
"51","ASV_055","Sebastes alutus"
"52","ASV_056","Sebastes proriger"
"53","ASV_058","Sebastes polyspinis"
"54","ASV_059","Sebastes polyspinis"
"55","ASV_060","Sebastes pinniger"
"56","ASV_062","Sebastes variegatus"
"57","ASV_063","Sebastes nebulosus"
"58","ASV_064","Sebastes goodei"
"59","ASV_065","Sebastes melanops"
"60","ASV_066","Sebastes alutus"
"61","ASV_068","Sebastes polyspinis"
"62","ASV_069","Sebastes polyspinis"
"63","ASV_070","Sebastes polyspinis"
"64","ASV_071","Sebastes helvomaculatus"
"65","ASV_072","Sebastes helvomaculatus"
"66","ASV_074","Sebastes wilsoni"
"67","ASV_075","Sebastes flavidus"
"68","ASV_076","Sebastes entomelas"
"69","ASV_078","Sebastes ruberrimus"
"70","ASV_079","Sebastes reedi"
"71","ASV_080","Sebastes alutus"
"72","ASV_081","Sebastes alutus"
"73","ASV_082","Sebastes melanops"
"74","ASV_083","Sebastes wilsoni"
"75","ASV_084","Sebastes wilsoni"
"76","ASV_085","Sebastes entomelas"
"77","ASV_086","Sebastes proriger"
"78","ASV_087","Sebastes alutus"
"79","ASV_088","Sebastes proriger"
"80","ASV_089","Sebastes flavidus"
"81","ASV_090","Sebastes flavidus"
"82","ASV_091","Sebastes elongatus"
"83","ASV_093","Sebastes caurinus"
"84","ASV_094","Sebastes alutus"
"85","ASV_095","Sebastes helvomaculatus"
"86","ASV_096","Sebastes entomelas"
"87","ASV_097","Sebastes polyspinis"
"88","ASV_098","Sebastes ruberrimus"
"89","ASV_099","Sebastes polyspinis"
"90","ASV_100","Sebastes alutus"
"91","ASV_101","Sebastes polyspinis"
"92","ASV_102","Sebastes alutus"
"93","ASV_103","Sebastes melanops"
"94","ASV_104","Sebastes pinniger"
