"","qseqid","taxon"
"1","ASV_001","Sebastes alutus"
"2","ASV_002","Sebastes polyspinis"
"3","ASV_003","Sebastes alutus"
"4","ASV_004","Sebastes alutus"
"5","ASV_005","Sebastes alutus"
"6","ASV_006","Sebastes polyspinis"
"7","ASV_007","Sebastes nigrocinctus"
"8","ASV_008","Sebastes aleutianus"
"9","ASV_009","Sebastes polyspinis"
"10","ASV_010","Sebastes polyspinis"
"11","ASV_011","Sebastes ciliatus_variabilis"
"12","ASV_012","Sebastes babcocki"
"13","ASV_013","Sebastes elongatus"
"14","ASV_014","Sebastes polyspinis"
"15","ASV_015","Sebastes pinniger"
"16","ASV_016","Sebastes helvomaculatus"
"17","ASV_017","Sebastes polyspinis"
"18","ASV_018","Sebastes polyspinis"
"19","ASV_021","Sebastes melanostictus"
"20","ASV_022","Sebastes proriger"
"21","ASV_023","Sebastes melanostictus"
"22","ASV_024","Sebastes brevispinis"
"23","ASV_025","Sebastes borealis"
"24","ASV_028","Sebastes polyspinis"
"25","ASV_029","Sebastes proriger"
"26","ASV_030","Sebastes alutus"
"27","ASV_031","Sebastes alutus"
"28","ASV_032","Sebastes wilsoni"
"29","ASV_033","Sebastes alutus"
"30","ASV_034","Sebastes carnatus"
"31","ASV_035","Sebastes glaucus"
"32","ASV_036","Sebastes maliger"
"33","ASV_037","Sebastes auriculatus"
"34","ASV_038","Sebastes reedi"
"35","ASV_039","Sebastes proriger"
"36","ASV_040","Sebastes crameri"
"37","ASV_041","Sebastes polyspinis"
"38","ASV_042","Sebastes babcocki"
"39","ASV_043","Sebastes nebulosus"
"40","ASV_044","Sebastes polyspinis"
"41","ASV_045","Sebastolobus alascanus"
"42","ASV_046","Sebastes zacentrus"
"43","ASV_047","Sebastes proriger"
"44","ASV_048","Sebastes nebulosus"
"45","ASV_049","Sebastes polyspinis"
"46","ASV_050","Sebastes polyspinis"
"47","ASV_051","Sebastes melanostictus"
"48","ASV_052","Sebastes ciliatus_variabilis"
"49","ASV_053","Sebastes emphaeus"
"50","ASV_054","Sebastes proriger"
"51","ASV_055","Sebastes elongatus"
"52","ASV_056","Sebastes zacentrus"
"53","ASV_057","Sebastes melanostictus"
"54","ASV_058","Sebastes saxicola"
"55","ASV_059","Sebastes zacentrus"
"56","ASV_060","Sebastes rosaceus"
"57","ASV_062","Sebastes brevispinis"
"58","ASV_063","Sebastes saxicola"
"59","ASV_064","Sebastes elongatus"
"60","ASV_066","Sebastes paucispinis"
"61","ASV_067","Sebastes polyspinis"
"62","ASV_068","Sebastes nigrocinctus"
"63","ASV_069","Sebastes paucispinis"
"64","ASV_070","Sebastes paucispinis"
"65","ASV_071","Sebastes melanostomus"
"66","ASV_072","Sebastes brevispinis"
"67","ASV_073","Sebastes melanostomus"
"68","ASV_074","Sebastes pinniger"
"69","ASV_075","Sebastes crameri"
"70","ASV_076","Sebastes goodei"
"71","ASV_077","Sebastes pinniger"
"72","ASV_078","Sebastes helvomaculatus"
"73","ASV_079","Sebastes wilsoni"
"74","ASV_081","Sebastes moseri"
"75","ASV_082","Sebastes melanops"
"76","ASV_083","Sebastes saxicola"
"77","ASV_084","Sebastes goodei"
"78","ASV_085","Sebastes babcocki"
"79","ASV_086","Sebastes rosaceus"
"80","ASV_087","Sebastes polyspinis"
"81","ASV_088","Sebastes babcocki"
"82","ASV_089","Sebastes variegatus"
"83","ASV_090","Sebastes polyspinis"
"84","ASV_091","Sebastes maliger"
"85","ASV_092","Sebastes moseri"
"86","ASV_093","Sebastes goodei"
"87","ASV_094","Sebastes chlorostictus"
"88","ASV_095","Sebastes alutus"
"89","ASV_096","Sebastes proriger"
"90","ASV_097","Sebastes melanops"
"91","ASV_098","Sebastes polyspinis"
"92","ASV_099","Sebastes zacentrus"
"93","ASV_100","Sebastes polyspinis"
