"","qseqid","taxon"
"1","ASV1","Sebastes aleutianus"
"2","ASV10","Sebastes variabilis"
"3","ASV11","Sebastes melanops"
"4","ASV12","Sebastes ciliatus"
"5","ASV13","Sebastes polyspinis"
"6","ASV14","Sebastes entomelas"
"7","ASV15","Sebastes entomelas"
"8","ASV17","Sebastes flavidus"
"9","ASV18","Sebastes melanops"
"10","ASV19","Sebastes caurinus"
"11","ASV2","Sebastes variabilis"
"12","ASV20","Sebastes polyspinis"
"13","ASV21","Sebastes caurinus"
"14","ASV22","Sebastes alutus"
"15","ASV23","Sebastes flavidus"
"16","ASV25","Sebastes polyspinis"
"17","ASV27","Sebastes maliger"
"18","ASV28","Sebastes variabilis"
"19","ASV3","Sebastes miniatus"
"20","ASV30","Sebastes melanostictus"
"21","ASV31","Sebastes melanops"
"22","ASV32","Sebastes paucispinis"
"23","ASV33","Sebastes caurinus"
"24","ASV34","Sebastes entomelas"
"25","ASV35","Sebastes pinniger"
"26","ASV36","Sebastes maliger"
"27","ASV37","Sebastes mystinus"
"28","ASV39","Sebastes polyspinis"
"29","ASV4","Sebastes maliger"
"30","ASV40","Sebastes melanostictus"
"31","ASV41","Sebastes flavidus"
"32","ASV42","Sebastes polyspinis"
"33","ASV43","Sebastes polyspinis"
"34","ASV44","Sebastes alutus"
"35","ASV45","Sebastes melanops"
"36","ASV46","Sebastes caurinus"
"37","ASV47","Sebastes polyspinis"
"38","ASV48","Sebastes melanops"
"39","ASV49","Sebastes melanostictus"
"40","ASV5","Sebastes alutus"
"41","ASV50","Sebastes entomelas"
"42","ASV51","Sebastes melanops"
"43","ASV52","Sebastes mystinus"
"44","ASV53","Sebastes chrysomelas"
"45","ASV54","Sebastes melanostictus"
"46","ASV56","Sebastes entomelas"
"47","ASV57","Sebastes melanostictus"
"48","ASV58","Sebastes babcocki"
"49","ASV59","Sebastes borealis"
"50","ASV6","Sebastes maliger"
"51","ASV60","Sebastes caurinus"
"52","ASV61","Sebastes maliger"
"53","ASV63","Sebastes alutus"
"54","ASV64","Sebastes aleutianus"
"55","ASV65","Sebastes borealis"
"56","ASV66","Sebastes melanops"
"57","ASV67","Sebastes polyspinis"
"58","ASV68","Sebastes pinniger"
"59","ASV69","Sebastes polyspinis"
"60","ASV7","Sebastes flavidus"
"61","ASV70","Sebastes carnatus"
"62","ASV71","Sebastes polyspinis"
"63","ASV72","Sebastes entomelas"
"64","ASV73","Sebastes babcocki"
"65","ASV76","Sebastes melanops"
"66","ASV77","Sebastes babcocki"
"67","ASV78","Sebastes mystinus"
"68","ASV79","Sebastes maliger"
"69","ASV8","Sebastes miniatus"
"70","ASV80","Sebastes alutus"
"71","ASV83","Sebastes babcocki"
"72","ASV84","Sebastes elongatus"
"73","ASV85","Sebastes proriger"
"74","ASV87","Sebastes polyspinis"
"75","ASV9","Sebastes alutus"
"76","ASV81","Sebates_pv"
