"","Sample_ID","extraction_ID","seq_date","sample_type.x","station","collection_year","collection_month","collection_day","location1","longitude","latitude","depth","sample_type.y","taxon","tot_reads","total_taxon_reads","reads_per_sample","prop_reads","taxon_abbr"
"1","e02261","e02261",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes alutus",44,687833,21686,0.0020289587752467,"S. alutus"
"2","e02261","e02261",20241219,"sample","90",2022,7,2,"Aleutian Islands",-173.5883,51.59916,96,"sample","Sebastes melanostictus",21642,28776,21686,0.997971041224753,"S. melanostictus"
"3","e02250_A","e02250",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",10619,687833,17712,0.599537037037037,"S. alutus"
"4","e02250_A","e02250",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",7093,500250,17712,0.400462962962963,"S. polyspinis"
"5","e02251_A","e02251",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",28944,687833,29103,0.994536645706628,"S. alutus"
"6","e02251_A","e02251",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes ciliatus_variabilis",15,82577,29103,0.000515410782393568,"S. ciliatus_variabilis"
"7","e02251_A","e02251",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes melanostictus",3,28776,29103,0.000103082156478714,"S. melanostictus"
"8","e02251_A","e02251",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes polyspinis",141,500250,29103,0.00484486135449954,"S. polyspinis"
"9","e02252_A","e02252",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes alutus",23617,687833,23758,0.994065156999747,"S. alutus"
"10","e02252_A","e02252",20241219,"sample","152",2022,7,19,"Aleutian Islands",175.5134,52.23871,50,"sample","Sebastes ciliatus_variabilis",82,82577,23758,0.00345146897887028,"S. ciliatus_variabilis"
