"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon"
"1","ASV1","Sebastes aleutianus",100,100,0,"species","Sebastes aleutianus"
"2","ASV10","Sebastes variabilis",99.39,99.39,0,"species","Sebastes variabilis"
"3","ASV11","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"4","ASV12","Sebastes ciliatus",100,100,0,"species","Sebastes ciliatus"
"5","ASV13","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"6","ASV14","Sebastes entomelas",100,100,0,"species","Sebastes entomelas"
"7","ASV15","Sebastes entomelas",99.394,99.394,0,"species","Sebastes entomelas"
"8","ASV17","Sebastes flavidus",100,100,0,"species","Sebastes flavidus"
"9","ASV18","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"10","ASV19","Sebastes caurinus",98.788,98.788,0,"species","Sebastes caurinus"
"11","ASV2","Sebastes variabilis",100,100,0,"species","Sebastes variabilis"
"12","ASV20","Sebastes polyspinis",100,100,0,"species","Sebastes polyspinis"
"13","ASV21","Sebastes caurinus",100,100,0,"species","Sebastes caurinus"
"14","ASV22","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"15","ASV23","Sebastes flavidus",99.394,99.394,0,"species","Sebastes flavidus"
"16","ASV24","Sebastes ciliatus",98.773,98.773,0,"species","Sebastes ciliatus"
"17","ASV25","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"18","ASV27","Sebastes maliger",98.788,98.788,0,"species","Sebastes maliger"
"19","ASV28","Sebastes variabilis",99.39,99.39,0,"species","Sebastes variabilis"
"20","ASV3","Sebastes miniatus",100,100,0,"species","Sebastes miniatus"
"21","ASV30","Sebastes melanostictus",98.78,98.78,0,"species","Sebastes melanostictus"
"22","ASV31","Sebastes melanops",99.394,99.394,0,"species","Sebastes melanops"
"23","ASV32","Sebastes paucispinis",100,100,0,"species","Sebastes paucispinis"
"24","ASV33","Sebastes caurinus",99.394,99.394,0,"species","Sebastes caurinus"
"25","ASV34","Sebastes entomelas",98.182,98.182,0,"species","Sebastes entomelas"
"26","ASV35","Sebastes pinniger",100,100,0,"species","Sebastes pinniger"
"27","ASV36","Sebastes maliger",98.788,98.788,0,"species","Sebastes maliger"
"28","ASV37","Sebastes mystinus",98.182,98.182,0,"species","Sebastes mystinus"
"29","ASV39","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"30","ASV4","Sebastes maliger",100,100,0,"species","Sebastes maliger"
"31","ASV40","Sebastes melanostictus",100,100,0,"species","Sebastes melanostictus"
"32","ASV41","Sebastes flavidus",98.788,98.788,0,"species","Sebastes flavidus"
"33","ASV42","Sebastes polyspinis",98.773,98.773,0,"species","Sebastes polyspinis"
"34","ASV43","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"35","ASV44","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"36","ASV45","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"37","ASV46","Sebastes caurinus",99.394,99.394,0,"species","Sebastes caurinus"
"38","ASV47","Sebastes polyspinis",98.16,98.16,0,"species","Sebastes polyspinis"
"39","ASV48","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"40","ASV49","Sebastes melanostictus",99.39,99.39,0,"species","Sebastes melanostictus"
"41","ASV5","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"42","ASV50","Sebastes entomelas",100,100,0,"species","Sebastes entomelas"
"43","ASV51","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"44","ASV52","Sebastes mystinus",98.788,98.788,0,"species","Sebastes mystinus"
"45","ASV54","Sebastes melanostictus",100,100,0,"species","Sebastes melanostictus"
"46","ASV56","Sebastes entomelas",99.394,99.394,0,"species","Sebastes entomelas"
"47","ASV57","Sebastes melanostictus",99.39,99.39,0,"species","Sebastes melanostictus"
"48","ASV58","Sebastes babcocki",98.788,98.788,0,"species","Sebastes babcocki"
"49","ASV59","Sebastes borealis",100,100,0,"species","Sebastes borealis"
"50","ASV6","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"51","ASV60","Sebastes caurinus",100,100,0,"species","Sebastes caurinus"
"52","ASV61","Sebastes maliger",100,100,0,"species","Sebastes maliger"
"53","ASV63","Sebastes alutus",100,100,0,"species","Sebastes alutus"
