sample_ID,extraction_ID,seq_date,sample_type,station,collection_year,collection_month,collection_day,location1,longitude,latitude,depth
e01737,e01737,20241219,sample,aquaria,NA,NA,NA,NA,NA,NA,NA
e01738,e01738,20241219,sample,aquaria,NA,NA,NA,NA,NA,NA,NA
e01741,e01741,20241219,sample,aquaria,NA,NA,NA,NA,NA,NA,NA
ABLG4670,ABLG4670,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
ABLG8566,ABLG8566,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
ABLG9486,ABLG9486,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
e02339,e02339,20241219,sample,120,2022,7,12,Aleutian Islands,-178.0768,51.44577,44.3
e02298,e02298,20241219,sample,99,2022,7,5,Aleutian Islands,-177.0133,51.54838,92
e02261,e02261,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
PC,PC,20241219,positive,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC,20241219,pcr_blank,NA,NA,NA,NA,NA,NA,NA,NA
all_even_A,all_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_even_A,os_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_skew_A,os_skew,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
ns_even_A,ns_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
all_even_B,all_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_even_B,os_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_skew_B,os_skew,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
ns_even_B,ns_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
all_even_C,all_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_even_C,os_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
os_skew_C,os_skew,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
ns_even_C,ns_even,20241219,mock,NA,NA,NA,NA,NA,NA,NA,NA
34137,34137,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
34138,34138,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
34139,34139,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
34140,34140,20241219,tissue,NA,NA,NA,NA,NA,NA,NA,NA
e02250_A,e02250,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02251_A,e02251,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02252_A,e02252,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02253_A,e02253,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02254_A,e02254,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02255_A,e02255,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02256_A,e02256,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02257_A,e02257,20241219,sample,152,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02258_A,e02258,20241219,field_blank,152 C,2022,7,19,Aleutian Islands,175.5134,52.23871,50
e02259_A,e02259,20241219,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA
e02260_A,e02260,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02261_A,e02261,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02262_A,e02262,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02263_A,e02263,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02264_A,e02264,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02265_A,e02265,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02266_A,e02266,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
e02267_A,e02267,20241219,sample,90,2022,7,2,Aleutian Islands,-173.5883,51.59916,96
