"","qseqid","taxon"
"1","ASV13","Sebates_cpv"
"2","ASV20","Sebates_pv"
"3","ASV25","Sebates_pv"
"4","ASV39","Sebates_pv"
"5","ASV42","Sebates_pv"
"6","ASV43","Sebates_pv"
"7","ASV66","Sebates_em"
"8","ASV67","Sebates_cpv"
"9","ASV69","Sebates_pv"
"10","ASV71","Sebates_pv"
"11","ASV87","Sebates_pv"
"12","ASV1","Sebastes aleutianus"
"13","ASV10","Sebastes variabilis"
"14","ASV11","Sebastes melanops"
"15","ASV14","Sebastes entomelas"
"16","ASV15","Sebastes entomelas"
"17","ASV16","Sebastes mystinus"
"18","ASV17","Sebastes flavidus"
"19","ASV18","Sebastes melanops"
"20","ASV19","Sebastes caurinus"
"21","ASV2","Sebastes variabilis"
"22","ASV21","Sebastes caurinus"
"23","ASV22","Sebastes alutus"
"24","ASV23","Sebastes flavidus"
"25","ASV27","Sebastes maliger"
"26","ASV28","Sebastes variabilis"
"27","ASV29","Sebastes mystinus"
"28","ASV3","Sebastes miniatus"
"29","ASV30","Sebastes melanostictus"
"30","ASV31","Sebastes melanops"
"31","ASV33","Sebastes caurinus"
"32","ASV34","Sebastes entomelas"
"33","ASV35","Sebastes pinniger"
"34","ASV36","Sebastes maliger"
"35","ASV37","Sebastes mystinus"
"36","ASV4","Sebastes maliger"
"37","ASV40","Sebastes aleutianus"
"38","ASV41","Sebastes flavidus"
"39","ASV44","Sebastes alutus"
"40","ASV45","Sebastes melanops"
"41","ASV46","Sebastes caurinus"
"42","ASV48","Sebastes melanops"
"43","ASV49","Sebastes melanostictus"
"44","ASV5","Sebastes alutus"
"45","ASV50","Sebastes entomelas"
"46","ASV51","Sebastes melanops"
"47","ASV52","Sebastes mystinus"
"48","ASV54","Sebastes melanostictus"
"49","ASV56","Sebastes entomelas"
"50","ASV57","Sebastes melanostictus"
"51","ASV58","Sebastes babcocki"
"52","ASV59","Sebastes borealis"
"53","ASV6","Sebastes maliger"
"54","ASV60","Sebastes caurinus"
"55","ASV61","Sebastes maliger"
"56","ASV63","Sebastes alutus"
"57","ASV64","Sebastes aleutianus"
"58","ASV65","Sebastes borealis"
"59","ASV7","Sebastes flavidus"
"60","ASV72","Sebastes entomelas"
"61","ASV73","Sebastes babcocki"
"62","ASV76","Sebastes melanops"
"63","ASV77","Sebastes babcocki"
"64","ASV78","Sebastes mystinus"
"65","ASV79","Sebastes maliger"
"66","ASV80","Sebastes alutus"
"67","ASV85","Sebastes proriger"
"68","ASV86","Sebastes mystinus"
"69","ASV9","Sebastes alutus"
"70","ASV8","Sebastes miniatus"
"71","ASV12","Sebastes ciliatus"
"72","ASV24","Sebastes ciliatus"
"73","ASV32","Sebastes paucispinis"
"74","ASV38","Sebastes mystinus"
"75","ASV53","Sebastes chrysomelas"
"76","ASV70","Sebastes carnatus"
"77","ASV81","Sebastes variabilis"
"78","ASV83","Sebastes babcocki"
"79","ASV84","Sebastes elongatus"
