"","qseqid","taxon"
"1","ASV1","Sebastes aleutianus"
"2","ASV10","Sebastes variabilis"
"3","ASV11","Sebastes melanops"
"4","ASV12","Sebastes ciliatus"
"5","ASV14","Sebastes entomelas"
"6","ASV15","Sebastes entomelas"
"7","ASV17","Sebastes flavidus"
"8","ASV18","Sebastes melanops"
"9","ASV20","Sebastes polyspinis"
"10","ASV21","Sebastes caurinus"
"11","ASV22","Sebastes zacentrus"
"12","ASV23","Sebastes flavidus"
"13","ASV31","Sebastes melanops"
"14","ASV32","Sebastes paucispinis"
"15","ASV33","Sebastes caurinus"
"16","ASV35","Sebastes pinniger"
"17","ASV4","Sebastes maliger"
"18","ASV44","Sebastes alutus"
"19","ASV45","Sebastes melanops"
"20","ASV46","Sebastes caurinus"
"21","ASV48","Sebastes melanops"
"22","ASV49","Sebastes melanostictus"
"23","ASV50","Sebastes entomelas"
"24","ASV51","Sebastes melanops"
"25","ASV54","Sebastes melanostictus"
"26","ASV56","Sebastes entomelas"
"27","ASV57","Sebastes melanostictus"
"28","ASV59","Sebastes borealis"
"29","ASV6","Sebastes maliger"
"30","ASV60","Sebastes caurinus"
"31","ASV61","Sebastes maliger"
"32","ASV64","Sebastes aleutianus"
"33","ASV65","Sebastes borealis"
"34","ASV68","Sebastes pinniger"
"35","ASV7","Sebastes flavidus"
"36","ASV70","Sebastes carnatus"
"37","ASV73","Sebastes babcocki"
"38","ASV76","Sebastes melanops"
"39","ASV79","Sebastes maliger"
"40","ASV8","Sebastes miniatus"
"41","ASV84","Sebastes elongatus"
"42","ASV85","Sebastes proriger"
"43","ASV9","Sebastes alutus"
"44","ASV13","Sebates_cpv"
"45","ASV25","Sebates_pv"
"46","ASV3","Sebastes miniatus"
"47","ASV39","Sebates_pv"
"48","ASV40","Sebastes melanostictus"
"49","ASV43","Sebates_pv"
"50","ASV5","Sebates_az"
"51","ASV63","Sebates_az"
"52","ASV69","Sebates_pv"
"53","ASV80","Sebates_az"
