"","qseqid","taxon"
"1","ASV1","Sebastes wilsoni"
"2","ASV10","Sebastes nebulosus"
"3","ASV100","Sebastes ovalis"
"4","ASV101","Sebastes entomelas"
"5","ASV102","Sebastes ensifer"
"6","ASV103","Sebastes alutus"
"7","ASV104","Sebastes polyspinis"
"8","ASV105","Sebastes entomelas"
"9","ASV107","Sebastes flavidus"
"10","ASV108","Sebastes polyspinis"
"11","ASV109","Sebastes melanops"
"12","ASV11","Sebastes proriger"
"13","ASV110","Sebastes caurinus"
"14","ASV111","Sebastes alutus"
"15","ASV112","Sebastes aurora"
"16","ASV113","Sebastes flavidus"
"17","ASV114","Sebastes variabilis"
"18","ASV115","Sebastes nebulosus"
"19","ASV116","Sebastes polyspinis"
"20","ASV117","Sebastes ciliatus"
"21","ASV118","Sebastes caurinus"
"22","ASV119","Sebastes maliger"
"23","ASV12","Sebastes emphaeus"
"24","ASV120","Sebastes melanostictus"
"25","ASV121","Sebastes aurora"
"26","ASV122","Sebastes diaconus"
"27","ASV123","Sebastes melanostictus"
"28","ASV124","Sebastes melanops"
"29","ASV125","Sebastes entomelas"
"30","ASV126","Sebastes maliger"
"31","ASV127","Sebastes diaconus"
"32","ASV128","Sebastes diaconus"
"33","ASV129","Sebastes alutus"
"34","ASV13","Sebastes proriger"
"35","ASV130","Sebastes diaconus"
"36","ASV131","Sebastes flavidus"
"37","ASV132","Sebastes polyspinis"
"38","ASV134","Sebastes alutus"
"39","ASV135","Sebastes melanops"
"40","ASV136","Sebastes caurinus"
"41","ASV137","Sebastes zacentrus"
"42","ASV138","Sebastes polyspinis"
"43","ASV139","Sebastes melanostictus"
"44","ASV14","Sebastes nebulosus"
"45","ASV140","Sebastes melanops"
"46","ASV142","Sebastes entomelas"
"47","ASV143","Sebastes melanops"
"48","ASV144","Sebastes moseri"
"49","ASV145","Sebastes diaconus"
"50","ASV146","Sebastes chrysomelas"
"51","ASV147","Sebastes melanostictus"
"52","ASV148","Sebastes helvomaculatus"
"53","ASV149","Sebastes crocotulus"
"54","ASV15","Sebastes zacentrus"
"55","ASV150","Sebastes carnatus"
"56","ASV151","Sebastes polyspinis"
"57","ASV152","Sebastes melanops"
"58","ASV153","Sebastes entomelas"
"59","ASV154","Sebastes wilsoni"
"60","ASV155","Sebastes melanostictus"
"61","ASV156","Sebastes babcocki"
"62","ASV158","Sebastes wilsoni"
"63","ASV159","Sebastes nebulosus"
"64","ASV16","Sebastes proriger"
